Item_MRP,Item_Outlet_Sales,Item_Visibility,est.year,Item_Visibility_MeanRatio,NIT_DR,NIT_FD,NIT_NC,OS_High,OS_Medium,OS_Small,OT_Grocery Store,OT_Supermarket Type1,OT_Supermarket Type2,OT_Supermarket Type3,OLT_Tier 1,OLT_Tier 2,OLT_Tier 3,IF_LF,IF_reg
196.8794,780.3176,0.255394896,28,2.030887725,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1
143.8812,3134.5864,0.067779712,16,0.874728789,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
141.5154,850.8924,0.159803853,26,1.036530428,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0
117.0492,810.9444,0.028696932,26,0.874000876,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1
196.3794,3121.2704,0.065041581,6,0.87967661,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
151.4708,4815.0656,0.028760013,6,0.927506765,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0
249.0408,6258.52,0.010053105,4,0.933419562,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0
106.1622,2117.244,0.048157338,11,0.93151793,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0
38.0506,796.9626,0.071958197,14,0.876088762,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0
194.511,4910.275,0.173481304,16,1.141663023,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0
180.0344,892.172,0.061082177,28,1.614810589,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0
246.9144,3185.1872,0.036491867,4,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0
87.3514,1062.6168,0.040071131,11,0.850393643,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1
38.2848,484.7024,0.012090074,28,0.925130854,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0
51.0692,147.8076,0.15028599,28,1.85699205,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1
255.8356,2543.356,0.026015519,28,1.165856257,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0
185.4266,184.4266,0.195068226,15,1.556014395,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0
172.5738,4865.6664,0.033082215,9,0.922115513,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
186.024,1118.544,0.078946455,11,1.044138187,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1
164.8526,2302.3364,0.041700756,11,0.876502764,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0
95.841,2027.361,0.143422643,16,1.027776794,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
170.1764,3435.528,0.105296072,16,0.874728788,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
59.222,599.22,0.121531501,26,0.874000862,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1
164.7526,4604.6728,0.05810121,11,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
189.6188,2285.0256,0.011324862,6,0.927506729,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
254.3698,5580.7356,0.186357148,14,1.029857103,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
114.0176,2290.352,0.024205661,16,0.999069762,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
172.3422,1207.0954,0.033230816,14,0.923723834,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
89.9804,643.1628,0.113720344,28,1.531537202,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0
104.9622,1587.933,0.112556507,6,0.927506767,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
222.5456,5305.0944,0.04441604,11,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
101.87,1697.79,0.059352241,16,0.874728787,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0
180.3344,1427.4752,0.014087057,16,1.141611469,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
187.9556,4693.89,0.045230944,4,0.926046946,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0
194.6136,583.2408,0.293417759,28,1.614810589,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0
171.3764,3091.9752,0.031382044,28,0.870492875,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1
177.0028,2479.4392,0.12639886,6,0.934890989,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1
160.992,2716.464,0.025403898,9,0.99888084,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
155.963,3285.723,0.039057677,28,0.954121924,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1
95.6436,661.8052,0.123115764,16,0.999069748,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
117.2808,1523.3504,0.039624006,14,1.163307491,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
122.173,369.519,0.040421193,15,1.735253051,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0
39.9138,690.4346,0.105274111,14,1.029670894,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0
55.1614,1381.535,0.033970195,11,0.931517918,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0
57.893,622.523,0.053212652,9,0.929456825,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
114.5492,1274.3412,0.024378706,9,0.998880819,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0
120.0414,487.3656,0.009714595,28,2.032156124,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0
246.046,1231.73,0.131383762,14,0.876088763,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
187.4556,3755.112,0.07461309,9,1.140638168,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1
149.9708,4363.6532,0.028459761,28,0.917823676,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0
187.8556,1314.2892,0.074627201,16,1.140853888,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
151.0708,1805.6496,0.063695084,11,0.924160347,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
178.5344,2854.9504,0.045797829,28,1.031674956,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1
179.1028,3896.2616,0.115857223,14,1.143417232,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
38.7822,667.7974,0.024832806,26,1.03585507,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1
212.0902,3185.853,0.034027909,4,0.878292065,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0
141.1838,2247.7408,0.0467696,26,0.874000857,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1
163.121,1794.331,0.116576702,26,1.026977013,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1
121.3098,2530.7058,0.004924115,11,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1
225.372,679.116,0.278974075,28,1.614810589,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0
41.4138,812.276,0.035913805,26,1.03206554,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0
232.53,699.09,0.079806266,16,0.999069747,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0
102.4016,2732.4432,0.005505481,6,0.879676574,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
176.937,176.437,0.064625342,28,2.259003052,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1
121.7098,4097.3332,0.071636937,28,0.994231707,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0
173.2054,3151.8972,0.078393078,11,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1
239.0906,5942.265,0.032677678,14,0.960051332,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
192.4478,4843.695,0.160760054,6,0.964377089,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1
109.0228,2542.0244,0.06911065,9,0.998880842,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
140.3154,2552.6772,0.041177505,6,1.178594921,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0
227.0694,1141.847,0.040081193,4,0.878292072,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0
47.5034,680.4476,0.035307322,6,0.879676623,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0
159.0578,2085.9514,0.063017847,11,0.931517923,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0
92.512,186.424,0.171938781,15,1.72890488,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1
190.153,3036.048,0.040197932,9,1.026832287,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1
62.7194,866.8716,0.049058014,6,0.934890992,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
95.041,868.869,0.01161096,9,1.152441727,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
82.4276,1137.1864,0.183507295,16,0.999069749,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0
52.7956,928.1252,0.102349519,6,0.879676615,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
151.7682,762.341,0.086708987,26,1.03634135,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0
40.2822,707.0796,0.032835147,11,1.001095896,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0
180.5976,7968.2944,0.033809913,28,1.13636595,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0
160.292,1438.128,0.07266912,16,0.862651745,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
224.4404,6976.2524,0.144338493,28,0.954309089,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0
101.7016,101.2016,0.009163216,15,1.464116662,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0
188.5188,952.094,0.011307038,4,0.926046942,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0
116.0492,1969.4364,0.076855628,16,0.929632605,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
165.4526,5262.4832,0.059956876,28,1.031938501,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0
60.5852,1314.2892,0.038532062,11,1.001095885,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
90.8172,535.3032,0.043209581,6,0.927506769,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
132.1284,263.6568,0.056816465,15,1.464116664,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0
154.5972,1402.1748,0.019866705,9,0.958320689,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0
105.1622,1693.7952,0.048331717,6,0.934890981,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0
105.5938,2143.876,0.091221855,11,0.876502764,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0
177.6344,2676.516,0.027622076,14,0.931077932,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
53.064,905.488,0.141645338,9,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1
246.3802,7370.406,0.039355947,14,0.931077943,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
226.8404,6301.1312,0.060836524,9,0.929456822,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
160.692,1597.92,0.082316506,9,0.929456819,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0
178.237,529.311,0.155350299,9,1.142348511,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
117.5492,1969.4364,0.076841095,9,0.929456816,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0
50.3692,1034.6532,0.151419185,6,0.934890987,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0
161.521,1794.331,0.026001976,4,0.933419534,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1
197.6426,2768.3964,0.073209447,4,0.87829207,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1
31.29,898.83,0.041683481,28,1.118510678,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0
226.172,3169.208,0.042560252,16,0.92228991,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0
223.5746,3589.9936,0.014081156,4,1.003139532,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0
132.5626,262.3252,0.030340534,4,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1
99.8358,1910.1802,0.152918384,6,0.927506762,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
140.9154,1701.7848,0.030969274,6,0.879676607,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0
154.5656,2471.4496,0.060376776,26,0.958154845,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1
54.764,1331.6,0.04192285,26,0.957780707,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1
97.0094,1808.9786,0.077367431,28,0.870492881,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0
222.5456,3315.684,0.045838211,4,1.032019303,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0
114.2518,2618.5914,0.071077939,16,0.922289921,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0
214.556,2769.728,0.094659871,16,0.929632601,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
233.4958,5375.0034,0.077608838,6,0.964000518,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1
216.8824,2838.9712,0.021327477,6,0.879676609,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
125.0046,1743.0644,0.042485444,4,1.002979184,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1
198.8084,5555.4352,0.025578526,28,0.858878186,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0
61.9194,619.194,0.0489808,4,0.933419536,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0
164.821,2120.573,0.019471688,9,0.874563386,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0
173.0738,3823.0236,0.122918852,6,1.033406846,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
151.4366,1360.2294,0.057373797,26,1.026921507,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1
178.8318,3969.4996,0.044155597,26,1.283563563,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1
115.1834,345.5502,0.291865402,15,1.775718902,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0
196.5794,585.2382,0.085354713,15,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0
92.6804,1010.6844,0.064750025,11,0.876502764,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1
81.4618,161.1236,0.098312421,15,1.5560144,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0
42.1112,42.6112,0.191013663,28,1.614810592,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1
157.4604,3010.7476,0.176573035,11,1.154451506,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
153.0656,6024.1584,0.060134441,28,0.954309087,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1
198.1426,988.713,0.007294652,11,1.126232797,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
117.944,239.688,0.128478462,28,2.030821696,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0
112.8176,1374.2112,0.075107656,26,1.141355726,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1
226.8062,4739.8302,0.049381406,28,1.027923132,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1
100.0016,1012.016,0.045165796,4,1.164742124,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1
165.7526,657.8104,0.09415375,28,1.679002672,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1
130.431,778.986,0.028907832,14,0.876088778,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
179.766,2336.958,0.018059621,11,1.038820284,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1
85.0882,2233.0932,0.090436094,14,0.923723836,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
103.9648,1661.8368,0.146399712,14,0.923723832,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
264.7568,4745.8224,0.074264356,14,0.96058958,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
164.1526,3124.5994,0.050186726,11,1.029656108,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1
50.1324,467.3916,0.020631654,4,0.878292056,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0
182.5976,5070.7328,0.01561108,28,0.87049291,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0
37.6164,540.6296,0.041395445,16,0.929632598,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0
48.0718,992.7078,0.097313129,16,0.874728796,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
238.8538,6008.845,0.059582996,14,1.038306987,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
62.9194,2105.2596,0.098663652,28,1.02309403,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1
232.63,5359.69,0.101338651,28,0.994677826,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1
104.628,745.696,0.052146456,11,0.93151793,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0
161.8868,3275.736,0.041764487,9,0.957952469,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1
140.2154,1701.7848,0.054344186,11,0.924160349,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
177.937,6704.606,0.078362484,28,0.917823683,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0
242.7512,4119.9704,0.052339069,16,1.04232595,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0
81.5934,327.5736,0.042464962,15,1.556014407,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1
45.7402,780.9834,0.065732883,14,1.000623041,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
189.3846,3630.6074,0.023625114,11,0.931517936,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0
107.3622,317.5866,0.051643608,28,1.531537194,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1
39.7164,231.6984,0.165694219,15,1.604434645,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0
32.99,133.16,0.041878397,9,1.123740942,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0
245.1802,5650.6446,0.058091482,9,0.87456339,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0
263.7568,2636.568,0.077311224,6,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1
96.0726,1272.3438,0.026903714,11,1.038241144,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0
161.5552,324.9104,0.08134476,15,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0
130.0626,131.1626,0.150554711,15,1.735563856,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1
131.2968,260.9936,0.091570416,15,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1
260.0936,260.9936,0.134975628,15,1.556014394,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1
160.6578,3690.5294,0.15616879,26,0.99823835,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0
40.2822,1139.1838,0.011040999,9,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
52.9298,1995.4026,0.133700752,14,1.062063028,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
88.3514,1416.8224,0.115119905,6,0.879676612,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1
37.2506,265.6542,0.110030997,16,0.958133643,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
121.7072,3552.7088,0.051038045,6,0.879676616,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
161.5578,2406.867,0.062837968,26,0.928858985,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0
211.956,213.056,0.017116983,28,1.614810614,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0
124.173,2956.152,0.024129332,26,1.035855052,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0
152.134,153.134,0.049754975,28,1.614810586,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0
79.7644,1649.8524,0.077216493,9,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
181.9292,3101.2964,0.101561568,28,1.325946782,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0
165.6526,4769.1254,0.005949644,28,0.917823707,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0
170.4764,3435.528,0.13956116,28,0.870492879,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1
86.4198,1133.8574,0.126035694,11,0.924160343,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
152.334,2603.278,0.027164679,9,0.998880847,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
45.406,605.878,0.099325278,16,0.922289913,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
192.8846,2293.0152,0.04357366,28,0.925130818,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0
118.7782,119.1782,0.082741482,28,1.614810589,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1
92.9804,1929.4884,0.064565202,26,0.874000868,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1
109.8912,2074.6328,0.084554569,28,0.870492877,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0
79.9618,241.6854,0.058451805,28,0.925130816,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0
251.3724,6795.1548,0.113748685,11,0.924160349,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0
42.7112,639.168,0.020603511,6,1.004720877,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0
192.1846,3248.4382,0.052044976,9,0.929456823,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0
227.6062,7222.5984,0.062764429,6,0.879676618,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1
229.0668,3225.1352,0.087977262,9,1.027582451,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0
249.0408,3755.112,0.010010425,9,0.929456772,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
179.3976,3440.8544,0.033946163,26,1.140945372,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0
163.4552,974.7312,0.058414678,9,0.922115521,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1
75.367,535.969,0.027106459,14,0.923723829,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
262.491,5259.82,0.027022883,6,0.927506768,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
152.034,306.268,0.058153409,28,1.678213169,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0
112.3886,1779.0176,0.128937661,4,1.031780336,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0
61.451,759.012,0.088846306,14,0.923723833,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
